Complexity,Loss,Equation
1,1.6243608e6,"1303.8425"
3,656935.44,"493.74857 / f"
5,213024.53,"(H / f) * 95.4509"
7,142912.66,"(H + 2.062628) * (72.73629 / f)"
9,0.0024150999,"(((H / f) * 12.500006) / f) + 657.51587"
11,0.0023776828,"(((H / f) + 0.0003837495) * (12.499935 / f)) + 657.50653"
13,0.0023705508,"((H + 5.3245938e-5) * (((12.49981 / f) + 0.00085032603) / f)) + 657.50775"
15,0.0023603044,"((-0.003142534 / H) + ((((H * 12.499922) / f) + 0.0053059794) / f)) - -657.5075"
19,0.002344915,"657.50745 + (((-0.00017804475 / H) / H) + ((4.01922 * ((H / f) + 0.0003643523)) * (3.1100407 / f)))"
22,0.002334996,"(-0.00019296801 / exp((-0.013157871 / (H * H)) - 0.5766945)) + (((((H / f) + 0.0003464396) * 12.499945) / f) + 657.50745)"
24,0.002334608,"((-0.00017804475 / exp((-0.01298163 / (H * H)) - 0.5766945)) + (((H / f) + 0.0003643523) * (4.01922 * (3.1100407 / f)))) + 657.50745"
28,0.002334529,"(-0.00019296801 / exp((-0.013157871 / (H * ((0.0003464396 + (f * H)) / f))) - 0.57706964)) + (((((H / f) + 0.0003464396) / f) * 12.499945) + 657.50745)"
30,0.0023333572,"((-0.00017804475 / (((-0.01298163 / ((H + 0.5766945) * exp(-1.7108716))) - (0.58018965 - f)) - H)) + ((3.1100407 / f) * (((H / f) + 0.0003643523) * 4.01922))) + 657.50745"
